time,cpu,rss,vsz,threads
5,19.4,13440,1892792,17
10,19.1,13440,1892792,17
15,18.9,13440,1892792,17
20,18.7,13440,1892792,17
25,18.5,13440,1892792,17
30,18.3,13440,1892792,17
35,18.1,13440,1892792,17
40,17.9,13440,1892792,17
45,17.7,13440,1892792,17
50,17.5,13440,1892792,17
55,17.4,13440,1892792,17
60,17.2,13440,1892792,17
