1777092288,502,669
1777092291,502,574
1777092293,502,548
1777092297,200,1452
1777092302,000000,3030
1777092307,000000,3093
1777092309,502,427
1777092312,502,438
1777092314,502,510
1777092317,502,432
1777092319,502,402
1777092322,502,387
1777092324,502,386
1777092326,502,358
1777092329,502,394
1777092331,200,521
1777092334,502,497
1777092336,502,461
1777092339,502,336
1777092341,502,416
1777092344,200,438
1777092346,502,414
1777092349,200,589
1777092351,502,392
1777092354,200,453
1777092356,502,399
1777092359,502,407
1777092364,000000,3026
1777092366,502,445
1777092369,502,434
1777092371,502,413
1777092373,502,433
1777092379,000000,3044
1777092381,502,473
1777092386,000000,3062
1777092389,502,435
1777092391,502,417
1777092394,502,531
1777092396,502,450
1777092401,000000,3062
1777092404,502,365
1777092406,502,460
1777092409,502,403
1777092411,502,408
