time,cpu,rss,vsz,threads
2,14.9,15320,1892792,17
4,15.4,22436,1892792,17
6,15.8,27416,1892792,17
8,16.2,25932,1892792,17
10,16.6,20936,1892792,17
12,17.0,24440,1892792,17
14,17.4,22920,1892792,17
16,17.8,22896,1892792,17
18,18.2,24956,1892792,17
20,18.6,22640,1892792,17
22,19.0,27196,1892792,17
24,19.3,22784,1892792,17
26,MISSING,0,0,0
28,MISSING,0,0,0
30,MISSING,0,0,0
32,MISSING,0,0,0
34,MISSING,0,0,0
36,MISSING,0,0,0
38,MISSING,0,0,0
40,0.0,3360,7764,1
