time,cpu%,rss_kb,vsz_kb,threads,goroutines
0,73.3,15076,1966780,18,0
0
2,53.3,14280,1966780,18,0
0
4,40.0,14384,1966780,18,0
0
6,43.8,14268,1966780,18,0
0
