time,cpu,rss,vsz,threads
2,46.5,12880,1892792,17
4,48.2,12864,1892792,17
6,49.3,13332,1892792,17
8,47.3,13440,1892792,17
10,49.2,13620,1892792,17
12,47.3,12920,1892792,17
14,49.8,13336,1892792,17
16,49.2,13940,1892792,17
18,49.2,13536,1892792,17
20,48.2,13568,1892792,17
